,academic_year_first_registration,birth_date,nacionality,num_registrations,num_registrations_course_conferent_degree,working_student,age,total_ects,has_scholarship,moved_student,registrations,repetitions,attendance_T,attendance_TP,attendance_PL,TP_time,PL_time,frequency_grade_result,frequency_grade,normal_grade_result,normal_grade,recovery_grade_result,recovery_grade,valid_final_grade,years_since_registration,dropout
0,2007/2008,1989-02-06 06:00:00,PRT,4,10,0,32,12.0,True,False,3,0,0.0,0.6363636363636364,0.0,21:00:00,22:00:00,ADNRC,0.0,F,0.0,F,0.0,0,4,True
2,2007/2008,1989-01-06 06:00:00,PRT,1,6,1,32,49.0,False,False,1,0,0.0,0.2727272727272727,0.0,21:00:00,20:00:00,ADNRC,0.0,D,0.0,D,0.0,0,4,True
6,2005/2006,1986-06-12 05:00:00,PRT,7,13,0,35,66.0,False,True,5,0,0.0,0.1818181818181818,0.0,21:00:00,22:00:00,ADNRC,0.0,AP,11.0,F,0.0,1,6,False
7,2005/2006,1987-07-11 05:00:00,PRT,4,4,0,34,71.0,False,False,4,0,0.0,0.0,0.0,19:00:00,22:00:00,ADNRC,0.0,F,0.0,F,0.0,0,6,True
8,2005/2006,1986-10-25 05:00:00,PRT,6,12,0,34,67.0,False,True,5,0,0.0,0.0909090909090909,0.0,21:00:00,00:00:00,ADNRC,0.0,AP,12.0,F,0.0,1,6,False
9,2006/2007,1988-05-06 05:00:00,PRT,3,8,0,33,60.0,False,True,3,0,0.0,0.0,0.0,15:30:00,22:00:00,AP,10.0,F,0.0,F,0.0,1,5,False
12,2005/2006,1987-07-24 05:00:00,PRT,2,6,1,33,63.0,False,False,2,0,0.0,0.0,0.0,19:00:00,22:00:00,ADNRC,0.0,F,0.0,R,6.0,0,6,True
14,2006/2007,1987-06-08 05:00:00,PRT,3,11,1,34,68.0,False,False,3,0,0.0,0.0909090909090909,0.0,23:00:00,22:00:00,ADNRC,0.0,D,0.0,F,0.0,0,5,True
15,2006/2007,1988-01-23 06:00:00,PRT,2,6,0,33,67.0,False,False,2,0,0.0,0.0,0.0,21:00:00,22:00:00,ADNRC,0.0,NRC,0.0,AP,11.0,1,5,False
16,2004/2005,1984-08-01 05:00:00,PRT,2,11,1,36,54.0,False,False,2,0,0.0,0.4545454545454545,0.0,21:00:00,22:00:00,ADNRC,0.0,F,0.0,F,0.0,0,7,True
18,2002/2003,1983-09-11 05:00:00,PRT,2,7,1,37,60.0,False,False,2,0,0.0,0.0,0.0,15:30:00,22:00:00,ADNRC,0.0,AP,11.0,F,0.0,1,9,False
19,1996/1997,1976-10-17 05:00:00,PRT,2,9,1,44,45.0,False,False,2,0,0.0,0.0,0.0,15:30:00,20:00:00,AP,10.0,F,0.0,F,0.0,1,15,False
20,2005/2006,1987-05-04 05:00:00,PRT,2,6,1,34,72.0,False,False,2,0,0.0,0.0909090909090909,0.0,23:00:00,20:00:00,ADNRC,0.0,F,0.0,F,0.0,0,6,True
21,2005/2006,1987-07-10 05:00:00,PRT,3,7,0,34,73.0,False,False,3,0,0.0,0.1818181818181818,0.0,21:00:00,22:00:00,AP,10.0,F,0.0,F,0.0,1,6,False
22,2006/2007,1981-08-20 05:00:00,PRT,5,13,1,39,54.0,False,False,4,0,0.0,0.0,0.0,15:30:00,20:00:00,ADNRC,0.0,F,0.0,F,0.0,0,5,True
27,2008/2009,1989-06-17 05:00:00,PRT,3,8,1,32,73.0,False,False,1,0,0.0,0.0909090909090909,0.0,23:00:00,22:00:00,ADNRC,0.0,F,0.0,D,0.0,0,3,True
28,2008/2009,1986-03-05 06:00:00,CPV,3,10,0,35,73.0,False,False,1,0,0.0,0.2727272727272727,0.0,23:00:00,22:00:00,AP,13.0,F,0.0,F,0.0,1,3,False
29,2008/2009,1988-08-21 05:00:00,PRT,1,7,0,32,73.0,False,False,1,0,0.0,0.3636363636363636,0.0,23:00:00,00:00:00,AP,13.0,F,0.0,F,0.0,1,3,False
30,2008/2009,1990-05-29 05:00:00,PRT,1,6,1,31,73.0,False,False,1,0,0.0,0.0,0.0,15:30:00,22:00:00,AP,10.0,F,0.0,F,0.0,1,3,False
31,2008/2009,1990-06-01 05:00:00,PRT,3,9,0,31,73.0,False,False,1,0,0.0,0.0909090909090909,0.0,23:00:00,20:00:00,ADNRC,0.0,F,0.0,R,8.0,0,3,True
32,2008/2009,1989-10-30 06:00:00,PRT,4,8,0,31,73.0,False,False,1,0,0.0,0.0909090909090909,0.0,23:00:00,22:00:00,ADNRC,0.0,F,0.0,R,7.0,0,3,True
33,2008/2009,1990-12-10 06:00:00,PRT,2,8,0,30,70.0,False,False,1,0,0.0,0.4545454545454545,0.0,21:00:00,20:00:00,ADNRC,0.0,AP,12.0,F,0.0,1,3,False
34,2008/2009,1990-07-01 05:00:00,PRT,10,11,0,31,73.0,False,False,1,0,0.0,0.1818181818181818,0.0,19:00:00,20:00:00,ADNRC,0.0,AP,10.0,F,0.0,1,3,False
36,2008/2009,1990-10-27 05:00:00,PRT,1,6,0,30,72.0,False,False,1,0,0.0,0.3636363636363636,0.0,19:00:00,20:00:00,AP,11.0,F,0.0,F,0.0,1,3,False
37,2008/2009,1990-04-02 05:00:00,PRT,1,4,0,31,56.0,False,False,1,0,0.0,0.3636363636363636,0.0,23:00:00,22:00:00,AP,11.0,F,0.0,F,0.0,1,3,False
38,2008/2009,1990-02-22 06:00:00,PRT,1,7,0,31,73.0,False,False,1,0,0.0,0.4545454545454545,0.0,21:00:00,20:00:00,AP,12.0,F,0.0,F,0.0,1,3,False
40,2008/2009,1990-03-04 06:00:00,PRT,7,10,0,31,71.0,False,False,1,0,0.0,0.0909090909090909,0.0,21:00:00,22:00:00,ADNRC,0.0,AP,10.0,F,0.0,1,3,False
41,2008/2009,1990-11-05 06:00:00,PRT,1,7,0,30,68.0,False,False,1,0,0.0,0.0909090909090909,0.0,19:00:00,20:00:00,ADNRC,0.0,F,0.0,R,8.0,0,3,True
42,2008/2009,1988-12-02 06:00:00,PRT,1,7,0,32,68.0,False,False,1,0,0.0,0.0909090909090909,0.0,19:00:00,20:00:00,ADNRC,0.0,F,0.0,F,0.0,0,3,True
43,2008/2009,1990-05-29 05:00:00,PRT,1,8,0,31,73.0,False,False,1,0,0.0,0.2727272727272727,0.0,21:00:00,20:00:00,ADNRC,0.0,F,0.0,R,6.0,0,3,True
44,2008/2009,1990-01-04 06:00:00,PRT,3,10,0,31,73.0,False,False,1,0,0.0,0.1818181818181818,0.0,19:00:00,20:00:00,ADNRC,0.0,NRC,0.0,AP,10.0,1,3,False
45,2008/2009,1990-11-15 06:00:00,PRT,5,7,0,30,74.0,False,False,1,0,0.0,0.0,0.0,23:00:00,22:00:00,ADNRC,0.0,F,0.0,F,0.0,0,3,True
46,2008/2009,1989-03-09 06:00:00,PRT,1,8,0,32,72.0,False,False,1,0,0.0,0.3636363636363636,0.0,21:00:00,20:00:00,ADNRC,0.0,AP,10.0,F,0.0,1,3,False
