index,academic_year_first_registration,birth_date,nacionality,num_registrations,num_registrations_course_conferent_degree,working_student,age,total_ects,has_scholarship,moved_student,registrations,repetitions,attendance_T,attendance_TP,attendance_PL,TP_time,PL_time,frequency_grade_result,frequency_grade,normal_grade_result,normal_grade,recovery_grade_result,recovery_grade,valid_final_grade,years_since_registration,dropout
503,2007/2008,1988-01-27 06:00:00,PRT,4,10,0,33,84.0,False,False,4,2,0.1785714285714285,0.2857142857142857,0.5,15:00:00,20:00:00,AP,10.0,F,0.0,F,0.0,1,7,False
511,2008/2009,1990-06-01 05:00:00,PRT,3,9,0,31,24.0,False,False,2,2,0.3571428571428571,0.1428571428571428,0.75,22:00:00,17:00:00,AP,11.0,F,0.0,F,0.0,1,6,False
520,2008/2009,1988-08-07 05:00:00,PRT,3,12,0,32,54.0,False,True,2,0,0.6428571428571429,0.7142857142857143,1.0,15:00:00,00:00:00,AP,10.0,F,0.0,AP,13.0,1,6,False
538,2010/2011,1992-08-03 05:00:00,PRT,1,8,0,28,68.0,False,False,1,1,0.3214285714285714,0.7857142857142857,0.75,15:00:00,22:00:00,AP,12.0,F,0.0,F,0.0,1,4,False
550,2010/2011,1991-09-10 05:00:00,PRT,1,10,0,29,79.0,False,False,1,2,0.0357142857142857,0.2142857142857142,0.75,22:00:00,22:00:00,AP,10.0,F,0.0,F,0.0,1,4,False
563,2011/2012,1992-04-21 05:00:00,PRT,10,7,0,29,69.0,True,True,4,1,0.8571428571428571,0.7857142857142857,0.75,22:00:00,00:00:00,AP,10.0,F,0.0,F,0.0,1,3,False
627,2012/2013,1994-11-04 06:00:00,PRT,2,7,0,26,72.0,False,True,1,1,0.1071428571428571,0.6428571428571429,0.75,22:00:00,20:00:00,AP,10.0,F,0.0,F,0.0,1,2,False
632,2012/2013,1994-06-03 05:00:00,PRT,2,5,0,27,84.0,False,True,1,1,0.3214285714285714,0.6428571428571429,0.75,22:00:00,22:00:00,AP,13.0,F,0.0,AP,14.0,1,2,False
636,2012/2013,1993-04-20 05:00:00,PRT,1,6,0,28,73.0,True,True,1,1,0.1071428571428571,0.7857142857142857,0.75,22:00:00,22:00:00,AP,11.0,F,0.0,AP,11.0,1,2,False
660,2013/2014,1995-07-10 05:00:00,PRT,1,7,0,26,65.0,False,False,1,0,0.1785714285714285,0.2857142857142857,0.75,22:00:00,20:00:00,AP,10.0,F,0.0,F,0.0,1,1,False
